Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
682,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,200,1731,0.31,0.00,1.00,4,3,8
683,BossLose,54.6,BossTankSustain,PlayerMeleeBurst,PlayerHybridSurvivor,366,2500,0.00,0.17,0.00,5,15,5
684,BossWin,57.0,BossRangedZoner,PlayerMeleeBurst,PlayerHybridSurvivor,400,2181,0.13,0.00,0.00,4,10,8
685,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,200,1444,0.42,0.00,1.00,3,2,9
686,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,284,1302,0.48,0.00,0.58,1,3,8
687,BossLose,88.1,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,252,2500,0.00,0.00,0.74,7,7,19
688,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerHybridSurvivor,218,1475,0.41,0.00,0.91,4,6,6
689,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,352,2321,0.07,0.00,0.24,5,11,13
690,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerTrainingSkillPool,244,905,0.64,0.00,0.78,4,4,6
691,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,279,2089,0.16,0.00,0.61,3,6,24
692,BossWin,73.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,400,1476,0.41,0.00,0.00,5,1,9
693,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,200,1650,0.34,0.00,1.00,3,18,1
694,BossLose,80.1,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,276,2500,0.00,0.00,0.62,3,12,16
695,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,352,1608,0.36,0.00,0.24,4,1,9
696,BossLose,76.9,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,349,2500,0.00,0.25,0.00,6,21,7
697,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerHybridSurvivor,300,555,0.78,0.00,0.50,4,2,3
698,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,200,1014,0.59,0.00,1.00,4,6,4
699,BossWin,68.8,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,185,0.93,0.00,0.00,3,1,2
